Municipality,Description,Amount,Year,Coordinates,Latitude,Longitude
Fitchburg ,Small-Scale Payment ,1500,2017.0,"(42.5834228, -71.8022955)",42.5834228,-71.8022955
Florida ,RDP Payment ,39000,2017.0,"(42.66675, -73.01121169999999)",42.66675,-73.01121169999999
Framingham ,Small-Scale Payment ,500,2017.0,"(42.279286, -71.4161565)",42.279286,-71.4161565
Franklin ,RDP Payment ,24500,2017.0,"(42.0834313, -71.396725)",42.0834313,-71.396725
Franklin County Solid Waste Management Disrict ,RDP Payment ,14300,2017.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Gardner ,Small-Scale Payment ,2000,2017.0,"(42.5750883, -71.998133)",42.5750883,-71.998133
Gill ,RDP Payment ,9900,2017.0,"(42.6408105, -72.4996367)",42.6408105,-72.4996367
Gloucester ,RDP Payment ,3150,2017.0,"(42.6159285, -70.6619888)",42.6159285,-70.6619888
Goshen ,RDP Payment ,27000,2017.0,"(42.4407187, -72.7993986)",42.4407187,-72.7993986
Grafton ,RDP Payment ,4200,2017.0,"(42.2070391, -71.6856236)",42.2070391,-71.6856236
Granby ,RDP Payment ,4800,2017.0,"(42.2570866, -72.51688589999999)",42.2570866,-72.51688589999999
Granville ,RDP Payment ,5400,2017.0,"(42.09965450000001, -72.92243289999999)",42.09965450000001,-72.92243289999999
Greater New Bedford Regional Refuse District ,RDP Payment ,4200,2017.0,"(41.6362152, -70.93420499999999)",41.6362152,-70.93420499999999
Greenfield ,Small-Scale Payment ,2000,2017.0,"(42.587915, -72.5994104)",42.587915,-72.5994104
Groton ,RDP Payment ,12100,2017.0,"(42.6088719, -71.57211629999999)",42.6088719,-71.57211629999999
Halifax ,RDP Payment ,5250,2017.0,"(41.99121299999999, -70.86198499999999)",41.99121299999999,-70.86198499999999
Hamilton ,RDP Payment ,8400,2017.0,"(42.63620520000001, -70.8431049)",42.63620520000001,-70.8431049
Hancock ,RDP Payment ,5400,2017.0,"(42.543138, -73.32371820000002)",42.543138,-73.32371820000002
Hanson ,Small-Scale Payment ,500,2017.0,"(42.0655193, -70.8663632)",42.0655193,-70.8663632
Harvard ,RDP Payment ,9000,2017.0,"(42.5000919, -71.5828444)",42.5000919,-71.5828444
Harwich ,RDP Payment ,2800,2017.0,"(41.6716498, -70.0622231)",41.6716498,-70.0622231
Haverhill ,RDP Payment ,12100,2017.0,"(42.7762015, -71.0772796)",42.7762015,-71.0772796
Hawley ,RDP Payment ,35000,2017.0,"(42.605083, -72.9132446)",42.605083,-72.9132446
Heath ,Small-Scale Payment ,500,2017.0,"(42.673417, -72.82176179999999)",42.673417,-72.82176179999999
Hilltown Resource Management Cooperative ,Small-Scale Payment ,500,2017.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Hingham ,Small-Scale Payment ,1000,2017.0,"(42.2418172, -70.889759)",42.2418172,-70.889759
Hinsdale ,RDP Payment ,17600,2017.0,"(42.4386967, -73.1253799)",42.4386967,-73.1253799
Holden ,Small-Scale Payment ,500,2017.0,"(42.3517585, -71.8634062)",42.3517585,-71.8634062
Hubbardston ,RDP Payment ,9900,2017.0,"(42.4737009, -72.0061877)",42.4737009,-72.0061877
Hudson ,Small-Scale Payment ,500,2017.0,"(42.3913641, -71.5697117)",42.3913641,-71.5697117
Huntington ,RDP Payment ,9600,2017.0,"(42.2335218, -72.8796017)",42.2335218,-72.8796017
Ipswich ,RDP Payment ,4200,2017.0,"(42.6800905, -70.8375707)",42.6800905,-70.8375707
Kingston ,RDP Payment ,13200,2017.0,"(41.9924498, -70.72647909999999)",41.9924498,-70.72647909999999
Lakeville ,RDP Payment ,6600,2017.0,"(41.8459169, -70.9495226)",41.8459169,-70.9495226
Lanesborough ,RDP Payment ,3850,2017.0,"(42.5173058, -73.2281596)",42.5173058,-73.2281596
Lawrence ,Small-Scale Payment ,500,2017.0,"(42.7070354, -71.1631137)",42.7070354,-71.1631137
Lee ,RDP Payment ,28000,2017.0,"(42.3041694, -73.2487144)",42.3041694,-73.2487144
Lenox ,Small-Scale Payment ,750,2017.0,"(42.3570676, -73.2850361)",42.3570676,-73.2850361
Leverett ,Small-Scale Payment ,750,2017.0,"(42.4519581, -72.5011335)",42.4519581,-72.5011335
Lexington ,RDP Payment ,4900,2017.0,"(42.4473497, -71.2271531)",42.4473497,-71.2271531
Leyden ,RDP Payment ,10800,2017.0,"(42.7000837, -72.6300909)",42.7000837,-72.6300909
Lincoln ,Small-Scale Payment ,500,2017.0,"(42.4259283, -71.3039469)",42.4259283,-71.3039469
Littleton ,RDP Payment ,3600,2017.0,"(42.5372893, -71.5128022)",42.5372893,-71.5128022
Longmeadow ,RDP Payment ,4900,2017.0,"(42.0501022, -72.5828642)",42.0501022,-72.5828642
Lowell ,RDP Payment ,14300,2017.0,"(42.6334247, -71.31617179999999)",42.6334247,-71.31617179999999
Ludlow ,RDP Payment ,64000,2017.0,"(42.1600936, -72.47591899999999)",42.1600936,-72.47591899999999
Lunenburg ,RDP Payment ,7700,2017.0,"(42.5971299, -71.7416301)",42.5971299,-71.7416301
Lynn ,RDP Payment ,7200,2017.0,"(42.46676300000001, -70.9494938)",42.46676300000001,-70.9494938
Lynnfield ,RDP Payment ,52000,2017.0,"(42.53869, -71.0465638)",42.53869,-71.0465638
Malden ,Small-Scale Payment ,1000,2017.0,"(42.4250964, -71.066163)",42.4250964,-71.066163
Manchester ,RDP Payment ,38500,2017.0,"(42.577834, -70.7675967)",42.577834,-70.7675967
Mansfield ,RDP Payment ,9000,2017.0,"(42.03345650000001, -71.2190578)",42.03345650000001,-71.2190578
Marblehead ,RDP Payment ,10400,2017.0,"(42.49995819999999, -70.8578024)",42.49995819999999,-70.8578024
Marlborough ,Small-Scale Payment ,1250,2017.0,"(42.3459271, -71.5522874)",42.3459271,-71.5522874
Marshfield ,RDP Payment ,10800,2017.0,"(42.0921969, -70.71092449999999)",42.0921969,-70.71092449999999
Martha's Vineyard Refuse District ,RDP Payment ,11700,2017.0,"(41.38564299999999, -70.60079189999999)",41.38564299999999,-70.60079189999999
Mashpee ,Small-Scale Payment ,2000,2017.0,"(41.647872, -70.4819674)",41.647872,-70.4819674
Mattapoisett ,RDP Payment ,6000,2017.0,"(41.6616323, -70.81507420000001)",41.6616323,-70.81507420000001
Medfield ,RDP Payment ,4800,2017.0,"(42.185541, -71.3089507)",42.185541,-71.3089507
Medway ,RDP Payment ,7200,2017.0,"(42.1417641, -71.3967256)",42.1417641,-71.3967256
Melrose ,RDP Payment ,5400,2017.0,"(42.4547874, -71.06546999999999)",42.4547874,-71.06546999999999
Merrimac ,RDP Payment ,10400,2017.0,"(42.8340582, -71.0005509)",42.8340582,-71.0005509
Methuen ,RDP Payment ,3500,2017.0,"(42.7262016, -71.1908924)",42.7262016,-71.1908924
Middleborough ,Small-Scale Payment ,1500,2017.0,"(41.8929942, -70.9107708)",41.8929942,-70.9107708
Middlefield ,RDP Payment ,11000,2017.0,"(42.3484207, -73.01510110000001)",42.3484207,-73.01510110000001
Milford ,RDP Payment ,3500,2017.0,"(42.1398577, -71.5163049)",42.1398577,-71.5163049
Millis ,RDP Payment ,10400,2017.0,"(42.1669661, -71.351738)",42.1669661,-71.351738
Milton ,RDP Payment ,5600,2017.0,"(42.2495321, -71.0661653)",42.2495321,-71.0661653
Monroe ,RDP Payment ,10400,2017.0,"(42.7143925, -73.0051055)",42.7143925,-73.0051055
Montague ,Small-Scale Payment ,500,2017.0,"(42.5355277, -72.5353437)",42.5355277,-72.5353437
Monterey ,RDP Payment ,7200,2017.0,"(42.1792563, -73.21205259999999)",42.1792563,-73.21205259999999
Mount Washington ,RDP Payment ,3850,2017.0,"(42.0850246, -73.4516852)",42.0850246,-73.4516852
Nahant ,Small-Scale Payment ,500,2017.0,"(42.4265633, -70.922279)",42.4265633,-70.922279
Natick ,Small-Scale Payment ,500,2017.0,"(42.2775281, -71.3468091)",42.2775281,-71.3468091
New Ashford ,RDP Payment ,28800,2017.0,"(42.605082, -73.2395502)",42.605082,-73.2395502
New Bedford ,Small-Scale Payment ,500,2017.0,"(41.6362152, -70.93420499999999)",41.6362152,-70.93420499999999
New Salem ,RDP Payment ,84500,2017.0,"(42.50425509999999, -72.3320289)",42.50425509999999,-72.3320289
Newburyport ,RDP Payment ,4200,2017.0,"(42.8125913, -70.87727509999999)",42.8125913,-70.87727509999999
Newton ,RDP Payment ,14300,2017.0,"(42.3370413, -71.20922139999999)",42.3370413,-71.20922139999999
Norfolk ,RDP Payment ,44000,2017.0,"(42.1195426, -71.3250563)",42.1195426,-71.3250563
North Attleborough ,RDP Payment ,3850,2017.0,"(41.9695516, -71.35654389999999)",41.9695516,-71.35654389999999
North Brookfield ,RDP Payment ,14300,2017.0,"(42.2749499, -72.0830789)",42.2749499,-72.0830789
Northampton ,RDP Payment ,3850,2017.0,"(42.3250896, -72.64120129999999)",42.3250896,-72.64120129999999
Northborough ,RDP Payment ,10200,2017.0,"(42.31980859999999, -71.6423829)",42.31980859999999,-71.6423829
Northern Bershire Solid Waste Management District ,RDP Payment ,5400,2017.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Northfield ,Small-Scale Payment ,1500,2017.0,"(42.6959093, -72.4528885)",42.6959093,-72.4528885
Norwell ,RDP Payment ,4900,2017.0,"(42.1615157, -70.7927832)",42.1615157,-70.7927832
Norwood ,RDP Payment ,5400,2017.0,"(42.19439089999999, -71.19896949999999)",42.19439089999999,-71.19896949999999
Orange ,RDP Payment ,10400,2017.0,"(42.5886201, -72.30955639999999)",42.5886201,-72.30955639999999
Orleans ,RDP Payment ,4900,2017.0,"(41.78804179999999, -69.99165219999999)",41.78804179999999,-69.99165219999999
Paxton ,RDP Payment ,5400,2017.0,"(42.3114889, -71.9278427)",42.3114889,-71.9278427
Peabody ,RDP Payment ,2100,2017.0,"(42.5278731, -70.9286609)",42.5278731,-70.9286609
Pembroke ,Small-Scale Payment ,2000,2017.0,"(42.0714925, -70.80919999999999)",42.0714925,-70.80919999999999
Peru ,RDP Payment ,11000,2017.0,"(42.4381417, -73.0459339)",42.4381417,-73.0459339
Petersham ,Small-Scale Payment ,500,2017.0,"(42.4837752, -72.186669)",42.4837752,-72.186669
Phillipston ,RDP Payment ,2800,2017.0,"(42.5486993, -72.1328582)",42.5486993,-72.1328582
Pittsfield ,RDP Payment ,2800,2017.0,"(42.4500845, -73.2453824)",42.4500845,-73.2453824
Plainfield ,Small-Scale Payment ,1500,2017.0,"(42.5153633, -72.9162075)",42.5153633,-72.9162075
Plainville ,RDP Payment ,4200,2017.0,"(42.0042655, -71.3328331)",42.0042655,-71.3328331
Plymouth ,RDP Payment ,3500,2017.0,"(41.9584457, -70.6672621)",41.9584457,-70.6672621
Princeton ,RDP Payment ,19800,2017.0,"(42.4487019, -71.877296)",42.4487019,-71.877296
Provincetown ,Small-Scale Payment ,500,2017.0,"(42.0547136, -70.1846012)",42.0547136,-70.1846012
Quincy ,RDP Payment ,3600,2017.0,"(42.2528772, -71.0022705)",42.2528772,-71.0022705
Randolph ,RDP Payment ,45500,2017.0,"(42.1619739, -71.042551)",42.1619739,-71.042551
Reading ,Small-Scale Payment ,1500,2017.0,"(42.5235564, -71.1029921)",42.5235564,-71.1029921
Rockland ,Small-Scale Payment ,1250,2017.0,"(42.1306563, -70.9161551)",42.1306563,-70.9161551
Rockport ,RDP Payment ,6600,2017.0,"(42.6556505, -70.620363)",42.6556505,-70.620363
Rowe ,RDP Payment ,6600,2017.0,"(42.6934166, -72.899542)",42.6934166,-72.899542
Royalston ,Small-Scale Payment ,500,2017.0,"(42.6775856, -72.18786039999999)",42.6775856,-72.18786039999999
Salem ,RDP Payment ,3500,2017.0,"(42.5197473, -70.8954626)",42.5197473,-70.8954626
Saugus ,RDP Payment ,30000,2017.0,"(42.4651421, -71.0110473)",42.4651421,-71.0110473
Savoy ,RDP Payment ,10400,2017.0,"(42.5667512, -73.0287112)",42.5667512,-73.0287112
Scituate ,RDP Payment ,2450,2017.0,"(42.195929, -70.7258633)",42.195929,-70.7258633
Seekonk ,RDP Payment ,13200,2017.0,"(41.808434, -71.3369972)",41.808434,-71.3369972
Sharon ,RDP Payment ,6000,2017.0,"(42.1236849, -71.1789656)",42.1236849,-71.1789656
Sheffield ,Small-Scale Payment ,1250,2017.0,"(42.1099885, -73.35514359999999)",42.1099885,-73.35514359999999
Shelburne ,Small-Scale Payment ,500,2017.0,"(42.5898074, -72.6884244)",42.5898074,-72.6884244
Sherborn ,RDP Payment ,4200,2017.0,"(42.23898570000001, -71.3697813)",42.23898570000001,-71.3697813
Shirley ,RDP Payment ,3500,2017.0,"(42.5448725, -71.648202)",42.5448725,-71.648202
Shrewsbury ,RDP Payment ,3500,2017.0,"(42.2959267, -71.71284709999999)",42.2959267,-71.71284709999999
Shutesbury ,RDP Payment ,14400,2017.0,"(42.4564779, -72.4098077)",42.4564779,-72.4098077
Somerset ,RDP Payment ,2100,2017.0,"(41.7695425, -71.12861939999999)",41.7695425,-71.12861939999999
Somerville ,RDP Payment ,9900,2017.0,"(42.3875968, -71.0994968)",42.3875968,-71.0994968
South Hadley ,RDP Payment ,32000,2017.0,"(42.2591729, -72.57479339999999)",42.2591729,-72.57479339999999
South Shore Recycling Cooperative ,RDP Payment ,16500,2017.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Southampton ,Small-Scale Payment ,2000,2017.0,"(42.2292572, -72.7300929)",42.2292572,-72.7300929
Southwick ,RDP Payment ,4200,2017.0,"(42.0548167, -72.7703724)",42.0548167,-72.7703724
Spencer ,RDP Payment ,5400,2017.0,"(42.2438416, -71.99511559999999)",42.2438416,-71.99511559999999
Springfield ,RDP Payment ,4550,2017.0,"(42.1014831, -72.589811)",42.1014831,-72.589811
Sterling ,RDP Payment ,71500,2017.0,"(42.4374156, -71.76062929999999)",42.4374156,-71.76062929999999
Sturbridge ,RDP Payment ,4200,2017.0,"(42.1083244, -72.080789)",42.1083244,-72.080789
Sudbury ,RDP Payment ,6300,2017.0,"(42.3834278, -71.4161725)",42.3834278,-71.4161725
Sunderland ,RDP Payment ,4550,2017.0,"(42.4663727, -72.5795115)",42.4663727,-72.5795115
Sutton ,Small-Scale Payment ,500,2017.0,"(42.1500353, -71.7632878)",42.1500353,-71.7632878
Swampscott ,RDP Payment ,3150,2017.0,"(42.47094370000001, -70.91755619999999)",42.47094370000001,-70.91755619999999
Swansea ,Small-Scale Payment ,1000,2017.0,"(41.748162, -71.1895617)",41.748162,-71.1895617
Taunton ,RDP Payment ,9900,2017.0,"(41.900101, -71.0897674)",41.900101,-71.0897674
Tewksbury ,RDP Payment ,49000,2017.0,"(42.6106478, -71.23422479999999)",42.6106478,-71.23422479999999
Topsfield ,RDP Payment ,10800,2017.0,"(42.6418275, -70.9504705)",42.6418275,-70.9504705
Townsend ,RDP Payment ,6600,2017.0,"(42.66693069999999, -71.705804)",42.66693069999999,-71.705804
Tyngsborough ,RDP Payment ,7200,2017.0,"(42.6766696, -71.4244224)",42.6766696,-71.4244224
Upton ,RDP Payment ,4800,2017.0,"(42.1744878, -71.6022583)",42.1744878,-71.6022583
Uxbridge ,RDP Payment ,4200,2017.0,"(42.07724289999999, -71.6302532)",42.07724289999999,-71.6302532
Walpole ,Small-Scale Payment ,1000,2017.0,"(42.1470361, -71.2520606)",42.1470361,-71.2520606
Wareham ,Small-Scale Payment ,1500,2017.0,"(41.7614511, -70.71973419999999)",41.7614511,-70.71973419999999
Warren ,Small-Scale Payment ,1250,2017.0,"(42.2125423, -72.19118499999999)",42.2125423,-72.19118499999999
Warwick ,RDP Payment ,3500,2017.0,"(42.6820293, -72.33897429999999)",42.6820293,-72.33897429999999
Wayland ,RDP Payment ,2800,2017.0,"(42.3625953, -71.3614484)",42.3625953,-71.3614484
Webster ,RDP Payment ,4550,2017.0,"(42.05009099999999, -71.88006279999999)",42.05009099999999,-71.88006279999999
Wellesley ,RDP Payment ,3150,2017.0,"(42.296797, -71.29238769999999)",42.296797,-71.29238769999999
Wellfleet ,RDP Payment ,10400,2017.0,"(41.93054679999999, -70.03097530000001)",41.93054679999999,-70.03097530000001
Wendell ,RDP Payment ,8400,2017.0,"(42.5481852, -72.396722)",42.5481852,-72.396722
Wenham ,RDP Payment ,4900,2017.0,"(42.604261, -70.8911612)",42.604261,-70.8911612
West Boylston ,RDP Payment ,4200,2017.0,"(42.3667589, -71.78562699999999)",42.3667589,-71.78562699999999
West Springfield ,RDP Payment ,7200,2017.0,"(42.1070383, -72.6203675)",42.1070383,-72.6203675
West Tisbury ,RDP Payment ,11700,2017.0,"(41.38122449999999, -70.6744723)",41.38122449999999,-70.6744723
Westborough ,RDP Payment ,2800,2017.0,"(42.2694066, -71.6133569)",42.2694066,-71.6133569
Westhampton ,Small-Scale Payment ,1250,2017.0,"(42.3028667, -72.7745382)",42.3028667,-72.7745382
Westport ,RDP Payment ,5250,2017.0,"(41.5700183, -71.0735476)",41.5700183,-71.0735476
Weymouth ,RDP Payment ,3850,2017.0,"(42.2180724, -70.94103559999999)",42.2180724,-70.94103559999999
Whately ,RDP Payment ,31500,2017.0,"(42.4398101, -72.6348118)",42.4398101,-72.6348118
Whitman ,RDP Payment ,4900,2017.0,"(42.0806564, -70.935599)",42.0806564,-70.935599
Williamsburg ,RDP Payment ,6600,2017.0,"(42.3928305, -72.7300929)",42.3928305,-72.7300929
Williamstown ,RDP Payment ,3850,2017.0,"(42.71126330000001, -73.1994775)",42.71126330000001,-73.1994775
Winchendon ,RDP Payment ,2800,2017.0,"(42.6871009, -72.0439529)",42.6871009,-72.0439529
Winchester ,RDP Payment ,4200,2017.0,"(42.452303, -71.1369959)",42.452303,-71.1369959
Windsor ,RDP Payment ,12100,2017.0,"(42.5090217, -73.0457124)",42.5090217,-73.0457124
Worcester ,RDP Payment ,2450,2017.0,"(42.2625932, -71.8022934)",42.2625932,-71.8022934
Worthington ,RDP Payment ,65000,2017.0,"(42.3973092, -72.9356536)",42.3973092,-72.9356536
Wrentham ,RDP Payment ,3500,2017.0,"(42.0667652, -71.3281114)",42.0667652,-71.3281114
Yarmouth ,Small-Scale Payment ,1000,2017.0,"(41.7056291, -70.2286681)",41.7056291,-70.2286681
Abington ,RDP Payment ,7800,2017.0,"(42.1048228, -70.9453218)",42.1048228,-70.9453218
Acton ,RDP Payment ,7800,2018.0,"(42.4850931, -71.43284)",42.4850931,-71.43284
Adams ,RDP Payment ,9600,2018.0,"(42.625118, -73.11897739999999)",42.625118,-73.11897739999999
Agawam ,RDP Payment ,2800,2018.0,"(42.0695391, -72.61481169999999)",42.0695391,-72.61481169999999
Amherst ,RDP Payment ,11700,2018.0,"(42.3732216, -72.5198537)",42.3732216,-72.5198537
Andover ,RDP Payment ,7700,2018.0,"(42.6627301, -71.1446897)",42.6627301,-71.1446897
Arlington ,Small-Scale Payment ,1500,2018.0,"(42.4153925, -71.1564729)",42.4153925,-71.1564729
Ashby ,RDP Payment ,35000,2018.0,"(42.6772767, -71.81871389999999)",42.6772767,-71.81871389999999
Ashfield ,RDP Payment ,4900,2018.0,"(42.5264745, -72.788426)",42.5264745,-72.788426
Ashland ,RDP Payment ,3850,2018.0,"(42.2612067, -71.4633956)",42.2612067,-71.4633956
Athol ,RDP Payment ,8800,2018.0,"(42.59593290000001, -72.2267383)",42.59593290000001,-72.2267383
Attleboro ,RDP Payment ,3500,2018.0,"(41.94454409999999, -71.2856082)",41.94454409999999,-71.2856082
Auburn ,RDP Payment ,49000,2018.0,"(42.1945385, -71.8356271)",42.1945385,-71.8356271
Avon ,RDP Payment ,11000,2018.0,"(42.13065539999999, -71.0411582)",42.13065539999999,-71.0411582
Ayer ,Small-Scale Payment ,500,2018.0,"(42.5611947, -71.58990539999999)",42.5611947,-71.58990539999999
Barnstable ,RDP Payment ,5950,2018.0,"(41.7003208, -70.3002024)",41.7003208,-70.3002024
Barre ,RDP Payment ,14300,2018.0,"(42.422359, -72.104837)",42.422359,-72.104837
Bedford ,RDP Payment ,3500,2018.0,"(42.4906231, -71.2760089)",42.4906231,-71.2760089
Belchertown ,RDP Payment ,4800,2018.0,"(42.2800443, -72.40348469999999)",42.2800443,-72.40348469999999
Belmont ,RDP Payment ,3500,2018.0,"(42.3956405, -71.1776114)",42.3956405,-71.1776114
Berkley ,Small-Scale Payment ,1500,2018.0,"(41.8459347, -71.08282220000001)",41.8459347,-71.08282220000001
Bernardston ,RDP Payment ,4550,2018.0,"(42.6710048, -72.5483277)",42.6710048,-72.5483277
Beverly ,RDP Payment ,4200,2018.0,"(42.5584283, -70.880049)",42.5584283,-70.880049
Billerica ,RDP Payment ,31500,2018.0,"(42.5584218, -71.2689461)",42.5584218,-71.2689461
Bolton ,RDP Payment ,35000,2018.0,"(42.43342579999999, -71.6078449)",42.43342579999999,-71.6078449
Boston ,RDP Payment ,3850,2018.0,"(42.3600825, -71.0588801)",42.3600825,-71.0588801
Bourne ,Small-Scale Payment ,2000,2018.0,"(41.74127730000001, -70.5989325)",41.74127730000001,-70.5989325
Boxborough ,RDP Payment ,10400,2018.0,"(42.4834197, -71.5167139)",42.4834197,-71.5167139
Boxford ,Small-Scale Payment ,750,2018.0,"(42.6599138, -70.9971338)",42.6599138,-70.9971338
Braintree ,RDP Payment ,7800,2018.0,"(42.2079017, -71.0040013)",42.2079017,-71.0040013
Brewster ,RDP Payment ,18000,2018.0,"(41.7609271, -70.0829663)",41.7609271,-70.0829663
Brockton ,RDP Payment ,9600,2018.0,"(42.0834335, -71.0183787)",42.0834335,-71.0183787
Brookfield ,RDP Payment ,52000,2018.0,"(42.2139817, -72.1022991)",42.2139817,-72.1022991
Brookline ,RDP Payment ,3850,2018.0,"(42.33176419999999, -71.1211635)",42.33176419999999,-71.1211635
Buckland ,RDP Payment ,49000,2018.0,"(42.592307, -72.79176009999999)",42.592307,-72.79176009999999
Cambridge ,RDP Payment ,3500,2018.0,"(42.3736158, -71.10973349999999)",42.3736158,-71.10973349999999
Carlisle ,RDP Payment ,97500,2018.0,"(42.5292597, -71.3495046)",42.5292597,-71.3495046
Charlemont ,Small-Scale Payment ,750,2018.0,"(42.627862, -72.86981829999999)",42.627862,-72.86981829999999
Charlton ,RDP Payment ,4200,2018.0,"(42.13565, -71.970074)",42.13565,-71.970074
Chatham ,Small-Scale Payment ,1000,2018.0,"(41.6827266, -69.9615518)",41.6827266,-69.9615518
Cheshire ,RDP Payment ,9000,2018.0,"(42.5620278, -73.162881)",42.5620278,-73.162881
Chesterfield ,RDP Payment ,3150,2018.0,"(42.3917541, -72.8398172)",42.3917541,-72.8398172
Chicopee ,RDP Payment ,4550,2018.0,"(42.1487043, -72.6078672)",42.1487043,-72.6078672
Chilmark ,RDP Payment ,38500,2018.0,"(41.3431688, -70.74475009999999)",41.3431688,-70.74475009999999
Clarksburg ,RDP Payment ,2800,2018.0,"(42.7170314, -73.092685)",42.7170314,-73.092685
Clinton ,Small-Scale Payment ,500,2018.0,"(42.4232376, -71.6835888)",42.4232376,-71.6835888
Cohasset ,RDP Payment ,6000,2018.0,"(42.24176749999999, -70.8036544)",42.24176749999999,-70.8036544
Colrain ,RDP Payment ,8400,2018.0,"(42.6731396, -72.6967587)",42.6731396,-72.6967587
Concord ,RDP Payment ,3500,2018.0,"(42.4603719, -71.3489484)",42.4603719,-71.3489484
Conway ,RDP Payment ,6000,2018.0,"(42.5098085, -72.6995349)",42.5098085,-72.6995349
Cummington ,RDP Payment ,2800,2018.0,"(42.459188, -72.8913714)",42.459188,-72.8913714
Danvers ,RDP Payment ,5600,2018.0,"(42.5750009, -70.93212199999999)",42.5750009,-70.93212199999999
Dartmouth ,Small-Scale Payment ,1500,2018.0,"(41.6130323, -70.9704787)",41.6130323,-70.9704787
Deerfield ,RDP Payment ,30600,2018.0,"(42.5445588, -72.6056435)",42.5445588,-72.6056435
Dennis ,RDP Payment ,4200,2018.0,"(41.7360225, -70.1944324)",41.7360225,-70.1944324
Devens ,RDP Payment ,11000,2018.0,"(42.5455027, -71.6139348)",42.5455027,-71.6139348
Dover ,Small-Scale Payment ,500,2018.0,"(42.2458135, -71.27956379999999)",42.2458135,-71.27956379999999
Dracut ,RDP Payment ,4200,2018.0,"(42.6703687, -71.3020052)",42.6703687,-71.3020052
Dunstable ,RDP Payment ,14400,2018.0,"(42.67508979999999, -71.4828433)",42.67508979999999,-71.4828433
Duxbury ,Small-Scale Payment ,500,2018.0,"(42.0393842, -70.67170279999999)",42.0393842,-70.67170279999999
East Bridgewater ,RDP Payment ,11000,2018.0,"(42.0334341, -70.9592096)",42.0334341,-70.9592096
East Brookfield ,RDP Payment ,5400,2018.0,"(42.2266927, -72.046446)",42.2266927,-72.046446
East Longmeadow ,RDP Payment ,2800,2018.0,"(42.0645396, -72.5125863)",42.0645396,-72.5125863
Eastham ,RDP Payment ,16500,2018.0,"(41.8299634, -69.97403609999999)",41.8299634,-69.97403609999999
Edgartown ,RDP Payment ,6600,2018.0,"(41.3890052, -70.5133599)",41.3890052,-70.5133599
Egremont ,RDP Payment ,4200,2018.0,"(42.1777247, -73.4415929)",42.1777247,-73.4415929
Erving ,RDP Payment ,4900,2018.0,"(42.6000863, -72.3981416)",42.6000863,-72.3981416
Everett ,Small-Scale Payment ,500,2018.0,"(42.40843, -71.0536625)",42.40843,-71.0536625
Fairhaven ,Small-Scale Payment ,1500,2018.0,"(41.6376043, -70.90364869999999)",41.6376043,-70.90364869999999
Fall River ,RDP Payment ,12100,2018.0,"(41.7014912, -71.1550451)",41.7014912,-71.1550451
Falmouth ,RDP Payment ,44000,2018.0,"(41.5532208, -70.60858859999999)",41.5532208,-70.60858859999999
Franklin County Solid Waste Management District ,RDP Payment ,28000,2018.0,"(42.5874387, -72.60486759999999)",42.5874387,-72.60486759999999
Fitchburg ,Small-Scale Payment ,1500,2018.0,"(42.5834228, -71.8022955)",42.5834228,-71.8022955
Florida ,RDP Payment ,38500,2018.0,"(42.66675, -73.01121169999999)",42.66675,-73.01121169999999
Framingham ,Small-Scale Payment ,500,2018.0,"(42.279286, -71.4161565)",42.279286,-71.4161565
Franklin ,RDP Payment ,28000,2018.0,"(42.0834313, -71.396725)",42.0834313,-71.396725
Gardner ,RDP Payment ,14300,2018.0,"(42.5750883, -71.998133)",42.5750883,-71.998133
Gill ,RDP Payment ,8800,2018.0,"(42.6408105, -72.4996367)",42.6408105,-72.4996367
Gloucester ,RDP Payment ,3850,2018.0,"(42.6159285, -70.6619888)",42.6159285,-70.6619888
Greater New Bedford Regional Refuse Management District ,RDP Payment ,28000,2018.0,"(41.722046, -70.98243699999999)",41.722046,-70.98243699999999
Goshen ,Small-Scale Payment ,2000,2018.0,"(42.4407187, -72.7993986)",42.4407187,-72.7993986
Grafton ,RDP Payment ,3850,2018.0,"(42.2070391, -71.6856236)",42.2070391,-71.6856236
Granville ,RDP Payment ,5400,2018.0,"(42.09965450000001, -72.92243289999999)",42.09965450000001,-72.92243289999999
Greenfield ,RDP Payment ,4200,2018.0,"(42.587915, -72.5994104)",42.587915,-72.5994104
Groton ,RDP Payment ,14300,2018.0,"(42.6088719, -71.57211629999999)",42.6088719,-71.57211629999999
Halifax ,RDP Payment ,5250,2018.0,"(41.99121299999999, -70.86198499999999)",41.99121299999999,-70.86198499999999
Hamilton ,RDP Payment ,9000,2018.0,"(42.63620520000001, -70.8431049)",42.63620520000001,-70.8431049
Hancock ,RDP Payment ,7200,2018.0,"(42.543138, -73.32371820000002)",42.543138,-73.32371820000002
Hanson ,Small-Scale Payment ,500,2018.0,"(42.0655193, -70.8663632)",42.0655193,-70.8663632
Harvard ,RDP Payment ,9600,2018.0,"(42.5000919, -71.5828444)",42.5000919,-71.5828444
Harwich ,RDP Payment ,4550,2018.0,"(41.6716498, -70.0622231)",41.6716498,-70.0622231
