Municipality,Description,Amount,Year,Coordinates,Latitude,Longitude
Town of Hancock ,Small-Scale Payment ,500,2015.0,"(42.543138, -73.32371820000002)",42.543138,-73.32371820000002
Town of Hanson ,RDP Payment ,3600,2015.0,"(42.0651405, -70.8666082)",42.0651405,-70.8666082
Town of Hardwick ,Small-Scale Payment ,500,2015.0,"(42.3066833, -72.210471)",42.3066833,-72.210471
Town of Harvard ,Small-Scale Payment ,750,2015.0,"(42.5000919, -71.5828444)",42.5000919,-71.5828444
Town of Harwich ,RDP Payment ,8000,2015.0,"(41.6716498, -70.0622231)",41.6716498,-70.0622231
City of Haverhill ,RDP Payment ,21000,2015.0,"(42.7762015, -71.0772796)",42.7762015,-71.0772796
Town of Hawley ,Small-Scale Payment ,500,2015.0,"(42.6031678, -72.9133844)",42.6031678,-72.9133844
Town of Heath ,Small-Scale Payment ,500,2015.0,"(42.673417, -72.82176179999999)",42.673417,-72.82176179999999
Town of Hingham ,RDP Payment ,9600,2015.0,"(42.2418172, -70.889759)",42.2418172,-70.889759
Town of Hinsdale ,Small-Scale Payment ,500,2015.0,"(42.4386967, -73.1253799)",42.4386967,-73.1253799
Hilltown Resource Mgmt Cooperative ,Small-Scale Payment ,1000,2015.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Town of Huntington ,Small-Scale Payment ,500,2015.0,"(42.2335218, -72.8796017)",42.2335218,-72.8796017
Town of Hudson ,RDP Payment ,1800,2015.0,"(42.3913641, -71.5697117)",42.3913641,-71.5697117
Town of Ipswich ,RDP Payment ,7200,2015.0,"(42.6800905, -70.8375707)",42.6800905,-70.8375707
Town of Kingston ,Small-Scale Payment ,1000,2015.0,"(41.99712660000001, -70.7366691)",41.99712660000001,-70.7366691
Town of Lakeville ,RDP Payment ,1800,2015.0,"(41.8459169, -70.9495226)",41.8459169,-70.9495226
Town of Lanesborough ,Small-Scale Payment ,500,2015.0,"(42.5173058, -73.2281596)",42.5173058,-73.2281596
City of Lawrence ,RDP Payment ,18000,2015.0,"(42.7070354, -71.1631137)",42.7070354,-71.1631137
Town of Lee ,Small-Scale Payment ,750,2015.0,"(42.3051421, -73.2488595)",42.3051421,-73.2488595
Town of Lenox ,Small-Scale Payment ,750,2015.0,"(42.3570676, -73.2850361)",42.3570676,-73.2850361
Town of Leverett ,RDP Payment ,2200,2015.0,"(42.4519581, -72.5011335)",42.4519581,-72.5011335
Town of Leyden ,Small-Scale Payment ,500,2015.0,"(42.7000837, -72.6300909)",42.7000837,-72.6300909
Town of Littleton ,RDP Payment ,2600,2015.0,"(42.5372893, -71.5128022)",42.5372893,-71.5128022
Town of Longmeadow ,RDP Payment ,7200,2015.0,"(42.0501022, -72.5828642)",42.0501022,-72.5828642
City of Lowell ,RDP Payment ,42000,2015.0,"(42.6334247, -71.31617179999999)",42.6334247,-71.31617179999999
Town of Ludlow ,RDP Payment ,5600,2015.0,"(42.1600936, -72.47591899999999)",42.1600936,-72.47591899999999
Town of Lunenburg ,RDP Payment ,3600,2015.0,"(42.5971299, -71.7416301)",42.5971299,-71.7416301
City of Lynn ,RDP Payment ,31500,2015.0,"(42.46676300000001, -70.9494938)",42.46676300000001,-70.9494938
Town of Lynnfield ,Small-Scale Payment ,1000,2015.0,"(42.53869, -71.0465638)",42.53869,-71.0465638
City of Malden ,RDP Payment ,27000,2015.0,"(42.4250964, -71.066163)",42.4250964,-71.066163
Town of Manchester-by-the-Sea ,RDP Payment ,5600,2015.0,"(42.577834, -70.7675967)",42.577834,-70.7675967
Town of Mansfield ,RDP Payment ,5600,2015.0,"(42.03345650000001, -71.2190578)",42.03345650000001,-71.2190578
City of Marlborough ,Small-Scale Payment ,1500,2015.0,"(42.3459271, -71.5522874)",42.3459271,-71.5522874
Town of Marshfield ,RDP Payment ,7000,2015.0,"(42.0921969, -70.71092449999999)",42.0921969,-70.71092449999999
Town of Mashpee ,RDP Payment ,3200,2015.0,"(41.647872, -70.4819674)",41.647872,-70.4819674
Town of Medfield ,Small-Scale Payment ,1000,2015.0,"(42.185541, -71.3089507)",42.185541,-71.3089507
City of Medford ,Small-Scale Payment ,2000,2015.0,"(42.4184296, -71.1061639)",42.4184296,-71.1061639
Town of Medway ,RDP Payment ,4000,2015.0,"(42.1417641, -71.3967256)",42.1417641,-71.3967256
City of Melrose ,Small-Scale Payment ,1500,2015.0,"(42.4547874, -71.06546999999999)",42.4547874,-71.06546999999999
Town of Merrimac ,RDP Payment ,1600,2015.0,"(42.8340582, -71.0005509)",42.8340582,-71.0005509
City of Methuen ,Small-Scale Payment ,1500,2015.0,"(42.7262016, -71.1908924)",42.7262016,-71.1908924
Town of Middleborough ,RDP Payment ,5600,2015.0,"(41.8929942, -70.9107708)",41.8929942,-70.9107708
Town of Middlefield ,Small-Scale Payment ,500,2015.0,"(42.3484207, -73.01510110000001)",42.3484207,-73.01510110000001
Town of Milford ,Small-Scale Payment ,1500,2015.0,"(42.1398577, -71.5163049)",42.1398577,-71.5163049
Town of Millis ,RDP Payment ,1800,2015.0,"(42.1669661, -71.351738)",42.1669661,-71.351738
Town of Milton ,RDP Payment ,8000,2015.0,"(42.2495321, -71.0661653)",42.2495321,-71.0661653
Town of Montague ,RDP Payment ,4400,2015.0,"(42.5355277, -72.5353437)",42.5355277,-72.5353437
Town of Monterey ,Small-Scale Payment ,500,2015.0,"(42.1792563, -73.21205259999999)",42.1792563,-73.21205259999999
Town of Nahant ,Small-Scale Payment ,500,2015.0,"(42.4219168, -70.9336963)",42.4219168,-70.9336963
Town of Natick ,RDP Payment ,15000,2015.0,"(42.2775281, -71.3468091)",42.2775281,-71.3468091
Northern Berkshire SW Mgmt. District ,Small-Scale Payment ,1500,2015.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Town of Needham ,RDP Payment ,10400,2015.0,"(42.2809285, -71.23775479999999)",42.2809285,-71.23775479999999
Town of New Ashford ,Small-Scale Payment ,500,2015.0,"(42.605082, -73.2395502)",42.605082,-73.2395502
City of New Bedford ,RDP Payment ,60000,2015.0,"(41.6362152, -70.93420499999999)",41.6362152,-70.93420499999999
Town of New Salem ,RDP Payment ,2200,2015.0,"(42.50425509999999, -72.3320289)",42.50425509999999,-72.3320289
City of Newburyport ,RDP Payment ,7000,2015.0,"(42.8125913, -70.87727509999999)",42.8125913,-70.87727509999999
Town of Norfolk ,RDP Payment ,2200,2015.0,"(42.1195426, -71.3250563)",42.1195426,-71.3250563
